id_page	object_type	pie_split_type	pie_split_by	ordonnee_left_name	ordonnee_right_name	graph_width	graph_height	position_legende	default_orderby	default_asc_desc	gis	gis_based_on	definition	troubleshooting	is_configure	scale
gtms.0091.01.call_setup_success_rate	graph			%	NB	900	450	top	seri.gtms.0091.01.call_setup_success_rate.kpis.0091.01.cssr	0	1	seri.gtms.0091.01.call_setup_success_rate.kpis.0091.01.cssr	Global Call Setup Succes Rate (CSSR)		1	textlin
gtms.0091.01.call_setup_success_rate_cs	graph			%	NB	900	450	top	seri.gtms.0091.01.call_setup_success_rate_cs.kpis.0091.01.cssr_cs	0	0		Call Setup Succes Rate (CSSR) for CS domain		1	textlin
gtms.0091.01.call_setup_success_rate_ps	graph			%	NB	900	450	top	seri.gtms.0091.01.call_setup_success_rate_ps.kpis.0091.01.cssr_ps	0	0		Call Setup Succes Rate (CSSR) for PS domain		1	textlin
gtms.0091.01.call_drop_rate	graph			%	NB	900	450	top	seri.gtms.0091.01.call_drop_rate.kpis.0091.01.call_drop_rate	0	1	seri.gtms.0091.01.call_drop_rate.kpis.0091.01.call_drop_rate	Global Call Drop Rate		1	textlin
gtms.0091.01.call_drop_rate_cs	graph			%	NB	900	450	top	seri.gtms.0091.01.call_drop_rate_cs.kpis.0091.01.call_drop_rate_cs	0	0		Call Drop Rate for CS domain		1	textlin
gtms.0091.01.call_drop_rate_ps	graph			%	NB	900	450	top	seri.gtms.0091.01.call_drop_rate_ps.kpis.0091.01.call_drop_rate_ps	0	0		Call Drop Rate for PS domain		1	textlin
gtms.0091.01.rrc_connection_setup_success_rate	graph			%	NB	900	450	top	seri.gtms.0091.01.rrc_connection_setup_success_rate.kpis.0091.01.rrc_connection_setup_sr	0	1	seri.gtms.0091.01.rrc_connection_setup_success_rate.kpis.0091.01.rrc_connection_setup_sr	RRC connection success rate		1	textlin
gtms.0091.01.rrc_connection_setup_success_rate_per_establishment_cause	graph			%	NB	900	450	top	seri.gtms.0091.01.rrc_connection_setup_success_rate_per_establishment_cause.kpis.0091.01.rrc_connection_setup_sr_cs_serv	0	0		RRC CONNECTION SETUP Success Rate per Establishment Cause for CS and PS CN domains		1	textlin
gtms.0091.01.rab_establishment_success_rate	graph			%	NB	900	450	top	seri.gtms.0091.01.rab_establishment_success_rate.kpis.0091.01.rab_establishment_sr	0	1	seri.gtms.0091.01.rab_establishment_success_rate.kpis.0091.01.rab_establishment_sr	RAB establishment success rate		1	textlin
gtms.0091.01.cs_rab_establishment_success_rate_per_service	graph			%	NB	900	450	top	seri.gtms.0091.01.cs_rab_establishment_success_rate_per_service.kpis.0091.01.rab_establishment_sr_speech	0	0		CS RAB Establishment Success Rate per Services		1	textlin
gtms.0091.01.ps_rab_establishment_success_rate_per_service	graph			%	NB	900	450	top	seri.gtms.0091.01.ps_rab_establishment_success_rate_per_service.kpis.0091.01.rab_establishment_sr_nrt_ps_data	0	0		PS RAB Establishment Success Rate per Services		1	textlin
gtms.0091.01.hspa_rab_establishment_success_rate	graph			%	NB	900	450	top	seri.gtms.0091.01.hspa_rab_establishment_success_rate.kpis.0091.01.rab_establishment_sr_hsdpa	0	1	seri.gtms.0091.01.hspa_rab_establishment_success_rate.kpis.0091.01.rab_establishment_sr_hsdpa	RAB Establishment Success Rate for HSPA (HSDPA and HSUPA)		1	textlin
gtms.0091.01.cs_call_drop_rate_per_service	graph			%	NB	900	450	top	seri.gtms.0091.01.cs_call_drop_rate_per_service.kpis.0091.01.call_drop_rate_speech	0	0		Call drop rate for CS services (speech and Real Time Data)		1	textlin
gtms.0091.01.cs_call_drop_failures_distribution	graph			%	NB	900	450	top	seri.gtms.0091.01.cs_call_drop_failures_distribution.kpis.0091.01.nb_system_release_speech	0	0		Call drop failures distribution for speech service		1	textlin
gtms.0091.01.ps_call_drop_rate_per_service	graph			%	NB	900	450	top	seri.gtms.0091.01.ps_call_drop_rate_per_service.kpis.0091.01.call_drop_rate_nrt_ps_data	0	0		Call drop rate for PS services (Real Time and Non Real Time data)		1	textlin
gtms.0091.01.hspa_call_drop_rate	graph			%	NB	900	450	top	seri.gtms.0091.01.hspa_call_drop_rate.kpis.0091.01.call_drop_rate_hs	0	1	seri.gtms.0091.01.hspa_call_drop_rate.kpis.0091.01.call_drop_rate_hs	Call drop rate for HSPA (HSDPA and HSUPA)		1	textlin
gtms.0091.01.rab_establishment_failures_distribution	graph			%	NB	900	450	top	seri.gtms.0091.01.rab_establishment_failures_distribution.kpis.0091.01.nb_failed_rab_est_attempt	0	0		RAB Establishment failures distribution		1	textlin
gtms.0091.01.reconfiguration_success_rate	graph			%	NB	900	450	top	seri.gtms.0091.01.reconfiguration_success_rate.kpis.0091.01.channel_upswitch_sr	0	0		Reconfiguration Success Rate (UL and DL channels upswitches and downswitches)		1	textlin
gtms.0091.01.hspa_reconfiguration_success_rate	graph			%	NB	900	450	top	seri.gtms.0091.01.hspa_reconfiguration_success_rate.kpis.0091.01.hs_channel_upswitch_sr	0	0		HSPA Reconfiguration Success Rate (DL upswitches to HSDPA and UL upswitches to HSUPA)		1	textlin
gtms.0091.01.cell_availability	graph			%		900	450	top	seri.gtms.0091.01.cell_availability.kpis.0091.01.cell_availability	0	1	seri.gtms.0091.01.cell_availability.kpis.0091.01.cell_availability	Cell availability and manual/system downtime		1	textlin
gtms.0091.01.hsdpa_service_availability	graph			%		900	450	top	seri.gtms.0091.01.hsdpa_service_availability.kpis.0091.01.hs_availability	0	0		Cell availability and manual/system downtime for HSDPA services		1	textlin
gtms.0091.01.hsupa_service_availability	graph			%		900	450	top	seri.gtms.0091.01.hsupa_service_availability.kpis.0091.01.eul_availability	0	0		Cell availability and manual/system downtime for HSUPA services		1	textlin
gtms.0091.01.cell_congestion	graph			%		900	450	top	seri.gtms.0091.01.cell_congestion.kpis.0091.01.congestion_dl	0	0		UL and DL cell congestion		1	textlin
gtms.0091.01.ul_rssi_average	graph			dBm		900	450	top	seri.gtms.0091.01.ul_rssi_average.kpis.0091.01.rssi_ul_avg	0	0		UL RSSI average		1	textlin
gtms.0091.01.sho_success_rate	graph			%	NB	900	450	top	seri.gtms.0091.01.sho_success_rate.kpis.0091.01.radio_link_addition_success_rate	0	1	seri.gtms.0091.01.sho_success_rate.kpis.0091.01.radio_link_addition_success_rate	Soft Handover success rate (intra-frequency mobility)		1	textlin
gtms.0091.01.intra_system_intra_frequency_hho_success_rate	graph			%	NB	900	450	top	seri.gtms.0091.01.intra_system_intra_frequency_hho_success_rate.kpis.0091.01.isif_hho_rt_sr	0	1	seri.gtms.0091.01.intra_system_intra_frequency_hho_success_rate.kpis.0091.01.isif_hho_sr	Intra System Intra Frequency HHO success rate		1	textlin
gtms.0091.01.intra_system_inter_frequency_hho_success_rate	graph			%	NB	900	450	top	seri.gtms.0091.01.intra_system_inter_frequency_hho_success_rate.kpis.0091.01.is_inter_freq_hho_sr	0	1	seri.gtms.0091.01.intra_system_inter_frequency_hho_success_rate.kpis.0091.01.is_inter_freq_hho_sr	Intra System Inter Frequency HHO success rate (%)		1	textlin
gtms.0091.01.inter_system_hho_success_rate	graph			%	NB	900	450	top	seri.gtms.0091.01.inter_system_hho_success_rate.kpis.0091.01.is_hho_sr	0	1	seri.gtms.0091.01.inter_system_hho_success_rate.kpis.0091.01.is_hho_sr	Inter System HHO 3G-2G success rate (%)		1	textlin
gtms.0091.01.hsdpa_cell_change_success_rate	graph			%	NB	900	450	top	seri.gtms.0091.01.hsdpa_cell_change_success_rate.kpis.0091.01.hs_cell_change_sr	0	1	seri.gtms.0091.01.hsdpa_cell_change_success_rate.kpis.0091.01.hs_cell_change_sr	HSDPA Cell change success rate		1	textlin
gtms.0091.01.hsupa_cell_change_success_rate	graph			%	NB	900	450	top	seri.gtms.0091.01.hsupa_cell_change_success_rate.kpis.0091.01.eul_cell_change_sr	0	0		HSUPA Cell change success rate		1	textlin
gtms.0091.01.compressed_mode_success_rate	graph			%	NB	900	450	top	seri.gtms.0091.01.compressed_mode_success_rate.kpis.0091.01.dl_cmode_sr	0	0		UL and DL Compressed mode success rate (for HLS and SF2 methods)		1	textlin
gtms.0091.01.compressed_mode_activation_for_inter-freq	graph			%	NB	900	450	top	seri.gtms.0091.01.compressed_mode_activation_for_inter-freq.kpis.0091.01.interfreq_meas_rate_with_cmode	0	0		Rate of inter-frequency measurements performed with Compressed mode		1	textlin
gtms.0091.01.compressed_mode_activation_for_inter-rat	graph			%	NB	900	450	top	seri.gtms.0091.01.compressed_mode_activation_for_inter-rat.kpis.0091.01.interrat_meas_rate_with_cmode	0	0		Rate of inter-RAT measurements performed with Compressed mode		1	textlin
gtms.0091.01.cs_traffic	graph			erlang		900	450	top	seri.gtms.0091.01.cs_traffic.kpis.0091.01.traffic_erl_speech	0	0		Traffic for CS services (speech and Real Time data)		1	textlin
gtms.0091.01.ps_traffic	graph			MBytes		900	450	top	seri.gtms.0091.01.ps_traffic.kpis.0091.01.traffic_dl_r99_nrt_ps_data	0	0		Traffic for PS services (Real Time and Non Real Time data)		1	textlin
gtms.0091.01.hspa_traffic	graph			MBytes		900	450	top	seri.gtms.0091.01.hspa_traffic.kpis.0091.01.traffic_dl_hs_nrt_ps_data	0	0		Traffic for HSPA PS services (Non Real Time data)		1	textlin
gtms.0091.01.average_r99_non_real_time_ps_data_throughput	graph			Kbits/s		900	450	top	seri.gtms.0091.01.average_r99_non_real_time_ps_data_throughput.kpis.0091.01.dl_dch_tot_nrt_ps_data_throughput	0	0		Average Non Real Time PS data user throughput on R99 channels		1	textlin
gtms.0091.01.average_hspa_non_real_time_ps_data_throughput	graph			Kbits/s		900	450	top	seri.gtms.0091.01.average_hspa_non_real_time_ps_data_throughput.kpis.0091.01.dl_hs_tot_nrt_ps_data_throughput	0	0		Average Non Real Time PS data user throughput on HSDPA and HSUPA channels		1	textlin
